label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
ce_temp08_s3,ce,,3,0.8,4.0,euler,32,523,394,519,392,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,32,519,384,519,384,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,32,376,294,376,294,1024
ce_temp08_s3,ce,,3,0.8,4.0,euler,64,565,427,565,427,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,64,581,418,581,418,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,64,522,393,522,393,1024
ce_temp08_s3,ce,,3,0.8,4.0,euler,128,607,454,607,454,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,128,609,448,606,447,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,128,599,443,598,443,1024
ce_temp08_s3,ce,,3,0.8,4.0,euler,256,609,453,609,453,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,256,655,483,654,482,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,256,665,463,663,461,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,8,272,240,272,240,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,8,232,194,232,194,1024
ce_temp09_s0,ce,,0,0.9,4.0,entropy,8,48,45,48,45,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,16,394,318,394,318,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,16,380,319,380,319,1024
ce_temp09_s0,ce,,0,0.9,4.0,entropy,16,182,163,182,163,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,32,447,351,447,351,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,32,434,355,434,355,1024
ce_temp09_s0,ce,,0,0.9,4.0,entropy,32,327,272,327,272,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,64,487,385,487,385,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,64,521,423,521,423,1024
