count,entropy,label,neighbors,nll,t
612,0.7786656022071838,sce_r1_s3,0,0.6915483474731445,0.75
2946,0.6128787398338318,sce_r1_s3,1,0.5787153840065002,0.75
5029,0.45341956615448,sce_r1_s3,2,0.4135756194591522,0.75
4121,0.33503714203834534,sce_r1_s3,3,0.2997036874294281,0.75
1280,0.24228791892528534,sce_r1_s3,4,0.1998872011899948,0.75
21727,1.210693120956421,sce_r2_s0,0,1.2079557180404663,0.25
7151,1.0786806344985962,sce_r2_s0,1,1.0694761276245117,0.25
838,0.8243858814239502,sce_r2_s0,2,0.8161057829856873,0.25
40,0.6167319416999817,sce_r2_s0,3,0.5979480743408203,0.25
7038,1.0903254747390747,sce_r2_s0,0,1.056850790977478,0.5
10211,0.8377673625946045,sce_r2_s0,1,0.8163142800331116,0.5
5264,0.6013979315757751,sce_r2_s0,2,0.5822328925132751,0.5
1162,0.40930524468421936,sce_r2_s0,3,0.3732759356498718,0.5
88,0.26942601799964905,sce_r2_s0,4,0.29154911637306213,0.5
523,0.770763635635376,sce_r2_s0,0,0.7126269936561584,0.75
2763,0.6367959976196289,sce_r2_s0,1,0.6058253645896912,0.75
5042,0.46622011065483093,sce_r2_s0,2,0.440728098154068,0.75
4186,0.3438563942909241,sce_r2_s0,3,0.30722349882125854,0.75
1333,0.2371688187122345,sce_r2_s0,4,0.2084130346775055,0.75
21423,1.2195807695388794,sce_r2_s1,0,1.210000991821289,0.25
7358,1.046980619430542,sce_r2_s1,1,1.0315877199172974,0.25
867,0.8157744407653809,sce_r2_s1,2,0.8338337540626526,0.25
39,0.8770838379859924,sce_r2_s1,3,0.8994039297103882,0.25
3,0.2319779396057129,sce_r2_s1,4,2.3602399826049805,0.25
7271,1.0808109045028687,sce_r2_s1,0,1.0678001642227173,0.5
10019,0.8216967582702637,sce_r2_s1,1,0.7926543354988098,0.5
5247,0.6031804084777832,sce_r2_s1,2,0.5689568519592285,0.5
1139,0.4451504945755005,sce_r2_s1,3,0.42296725511550903,0.5
89,0.20693759620189667,sce_r2_s1,4,0.15437732636928558,0.5
598,0.7891392707824707,sce_r2_s1,0,0.7660239338874817,0.75
2795,0.6462332010269165,sce_r2_s1,1,0.6099488139152527,0.75
4888,0.47507184743881226,sce_r2_s1,2,0.4494805932044983,0.75
4268,0.3344568908214569,sce_r2_s1,3,0.31748732924461365,0.75
1258,0.23047345876693726,sce_r2_s1,4,0.1964358240365982,0.75
21814,1.2069612741470337,sce_r2_s2,0,1.2216849327087402,0.25
7127,1.073298454284668,sce_r2_s2,1,1.0538581609725952,0.25
826,0.8028613328933716,sce_r2_s2,2,0.7800217270851135,0.25
26,0.5034287571907043,sce_r2_s2,3,0.3226182758808136,0.25
7341,1.0469814538955688,sce_r2_s2,0,1.0437090396881104,0.5
9985,0.8185269236564636,sce_r2_s2,1,0.8017407655715942,0.5
5196,0.6026343107223511,sce_r2_s2,2,0.5646554231643677,0.5
1172,0.45142245292663574,sce_r2_s2,3,0.45129913091659546,0.5
86,0.39026907086372375,sce_r2_s2,4,0.35672444105148315,0.5
619,0.8692127466201782,sce_r2_s2,0,0.8439174294471741,0.75
2767,0.6182811856269836,sce_r2_s2,1,0.5973262190818787,0.75
5037,0.4708749055862427,sce_r2_s2,2,0.43869954347610474,0.75
4182,0.3258812129497528,sce_r2_s2,3,0.2996091842651367,0.75
1306,0.23289258778095245,sce_r2_s2,4,0.2112431526184082,0.75
21754,1.192467451095581,sce_r2_s3,0,1.1955363750457764,0.25
7149,1.0654833316802979,sce_r2_s3,1,1.0392131805419922,0.25
827,0.8560798764228821,sce_r2_s3,2,0.8044707775115967,0.25
43,0.597041130065918,sce_r2_s3,3,0.4703967869281769,0.25
7304,1.0682237148284912,sce_r2_s3,0,1.0431795120239258,0.5
10025,0.8350062370300293,sce_r2_s3,1,0.8139539361000061,0.5
5129,0.6177552342414856,sce_r2_s3,2,0.5856298208236694,0.5
1148,0.4250797629356384,sce_r2_s3,3,0.4071378707885742,0.5
112,0.2554868161678314,sce_r2_s3,4,0.24683992564678192,0.5
612,0.8027472496032715,sce_r2_s3,0,0.7076717019081116,0.75
2946,0.6263121962547302,sce_r2_s3,1,0.5895639657974243,0.75
5029,0.459969162940979,sce_r2_s3,2,0.42125391960144043,0.75
4121,0.33692172169685364,sce_r2_s3,3,0.30264517664909363,0.75
1280,0.23927441239356995,sce_r2_s3,4,0.20179247856140137,0.75
21727,1.2100398540496826,sce_r3_s0,0,1.2077593803405762,0.25
7151,1.0783520936965942,sce_r3_s0,1,1.0711690187454224,0.25
838,0.8278922438621521,sce_r3_s0,2,0.8189525604248047,0.25
40,0.6154513955116272,sce_r3_s0,3,0.6108604669570923,0.25
7038,1.083062767982483,sce_r3_s0,0,1.0525270700454712,0.5
10211,0.8345103859901428,sce_r3_s0,1,0.8153636455535889,0.5
5264,0.6024936437606812,sce_r3_s0,2,0.5857774615287781,0.5
1162,0.41173654794692993,sce_r3_s0,3,0.3741234838962555,0.5
88,0.2654920220375061,sce_r3_s0,4,0.3096214830875397,0.5
523,0.7641651034355164,sce_r3_s0,0,0.6948193311691284,0.75
2763,0.6296669244766235,sce_r3_s0,1,0.5976230502128601,0.75
5042,0.46388983726501465,sce_r3_s0,2,0.44323113560676575,0.75
4186,0.3440895676612854,sce_r3_s0,3,0.3122635781764984,0.75
1333,0.24455519020557404,sce_r3_s0,4,0.2054983228445053,0.75
21423,1.2157557010650635,sce_r3_s1,0,1.209841251373291,0.25
7358,1.0451945066452026,sce_r3_s1,1,1.032809853553772,0.25
