elapsed_seconds,kind,label,loss,lr,step
134.26891016960144,training,sce_r1_s2,0.9585097432136536,2.6931297103324846e-05,6000
143.4381811618805,training,sce_r1_s2,0.9693728089332581,2.6314821141062815e-05,6500
152.69773244857788,training,sce_r1_s2,0.9404696822166443,2.565053570062023e-05,7000
161.98166489601135,training,sce_r1_s2,0.906255841255188,2.4941285354236023e-05,7500
171.18434619903564,training,sce_r1_s2,0.9475189447402954,2.4190107220779503e-05,8000
180.3800482749939,training,sce_r1_s2,0.9324800968170166,2.3400217960341093e-05,8500
189.55263829231262,training,sce_r1_s2,0.9010562896728516,2.2575e-05,9000
198.69209933280945,training,sce_r1_s2,0.9422093033790588,2.171798704975217e-05,9500
207.83618545532227,training,sce_r1_s2,0.9176084995269775,2.0832848970621583e-05,10000
217.14875769615173,training,sce_r1_s2,0.9412583708763123,1.992337605975195e-05,10500
226.40109658241272,training,sce_r1_s2,0.9186829924583435,1.8993462819772435e-05,11000
235.5630271434784,training,sce_r1_s2,0.9294157028198242,1.8047091281939508e-05,11500
244.73493003845215,training,sce_r1_s2,0.9100324511528015,1.708831395446777e-05,12000
253.85733032226562,training,sce_r1_s2,0.9150833487510681,1.6121236469067628e-05,12500
262.9986357688904,training,sce_r1_s2,0.9409957528114319,1.515e-05,13000
272.16086530685425,training,sce_r1_s2,0.8949283957481384,1.4178763530932375e-05,13500
281.356552362442,training,sce_r1_s2,0.934145987033844,1.3211686045532237e-05,14000
290.5811903476715,training,sce_r1_s2,0.9036355018615723,1.2252908718060498e-05,14500
299.8579020500183,training,sce_r1_s2,0.8728723526000977,1.1306537180227566e-05,15000
309.0023534297943,training,sce_r1_s2,0.9011675715446472,1.0376623940248055e-05,15500
318.1274411678314,training,sce_r1_s2,0.9201827049255371,9.467151029378419e-06,16000
327.3001070022583,training,sce_r1_s2,0.9341080188751221,8.582012950247835e-06,16500
336.4663052558899,training,sce_r1_s2,0.8906496167182922,7.725000000000003e-06,17000
345.74291706085205,training,sce_r1_s2,0.873228907585144,6.899782039658911e-06,17500
354.89961981773376,training,sce_r1_s2,0.8935892581939697,6.109892779220499e-06,18000
364.0659353733063,training,sce_r1_s2,0.8630303740501404,5.3587146457639785e-06,18500
373.27409529685974,training,sce_r1_s2,0.8825869560241699,4.649464299379771e-06,19000
382.4798626899719,training,sce_r1_s2,0.8705359697341919,3.9851788589371875e-06,19500
391.59404492378235,training,sce_r1_s2,0.9046505093574524,3.3687028966751593e-06,20000
400.78446197509766,training,sce_r1_s2,0.8530951142311096,2.8026762573072015e-06,20500
409.98816776275635,training,sce_r1_s2,0.8722414374351501,2.2895227538010853e-06,21000
419.15803027153015,training,sce_r1_s2,0.9076866507530212,1.8314397882395793e-06,21500
