kind,label,loss,method,nfe,novel,sce_radius,seed,total,unique_novel,unique_valid,valid
generation,sce_r1_s2,sce,entropy,64,284,1,2,1024,284,326,326
generation,sce_r1_s2,sce,euler,128,352,1,2,1024,352,418,418
generation,sce_r1_s2,sce,neighbor,128,356,1,2,1024,356,428,428
generation,sce_r1_s2,sce,entropy,128,356,1,2,1024,355,429,431
generation,sce_r1_s2,sce,euler,256,361,1,2,1024,361,419,419
generation,sce_r1_s2,sce,neighbor,256,353,1,2,1024,353,446,446
generation,sce_r1_s2,sce,entropy,256,368,1,2,1024,368,463,464
generation,sce_r1_s3,sce,euler,8,178,1,3,1024,178,205,205
generation,sce_r1_s3,sce,neighbor,8,160,1,3,1024,160,179,179
generation,sce_r1_s3,sce,entropy,8,45,1,3,1024,45,47,47
generation,sce_r1_s3,sce,euler,16,256,1,3,1024,256,310,310
generation,sce_r1_s3,sce,neighbor,16,283,1,3,1024,283,322,322
generation,sce_r1_s3,sce,entropy,16,123,1,3,1024,123,127,127
generation,sce_r1_s3,sce,euler,32,310,1,3,1024,310,382,382
generation,sce_r1_s3,sce,neighbor,32,341,1,3,1024,341,406,406
generation,sce_r1_s3,sce,entropy,32,225,1,3,1024,225,261,261
generation,sce_r1_s3,sce,euler,64,315,1,3,1024,315,400,400
generation,sce_r1_s3,sce,neighbor,64,340,1,3,1024,340,408,408
generation,sce_r1_s3,sce,entropy,64,303,1,3,1024,303,374,374
generation,sce_r1_s3,sce,euler,128,346,1,3,1024,346,420,420
generation,sce_r1_s3,sce,neighbor,128,366,1,3,1024,366,447,447
generation,sce_r1_s3,sce,entropy,128,344,1,3,1024,344,446,446
generation,sce_r1_s3,sce,euler,256,341,1,3,1024,340,430,431
generation,sce_r1_s3,sce,neighbor,256,372,1,3,1024,372,462,462
generation,sce_r1_s3,sce,entropy,256,396,1,3,1024,396,504,504
generation,sce_r2_s0,sce,euler,8,158,2,0,1024,158,177,177
generation,sce_r2_s0,sce,neighbor,8,149,2,0,1024,149,168,168
generation,sce_r2_s0,sce,entropy,8,33,2,0,1024,33,35,35
generation,sce_r2_s0,sce,euler,16,248,2,0,1024,248,280,280
generation,sce_r2_s0,sce,neighbor,16,235,2,0,1024,235,281,281
generation,sce_r2_s0,sce,entropy,16,95,2,0,1024,95,102,102
generation,sce_r2_s0,sce,euler,32,279,2,0,1024,279,334,334
generation,sce_r2_s0,sce,neighbor,32,264,2,0,1024,264,321,321
generation,sce_r2_s0,sce,entropy,32,196,2,0,1024,196,217,218
generation,sce_r2_s0,sce,euler,64,290,2,0,1024,290,350,350
generation,sce_r2_s0,sce,neighbor,64,339,2,0,1024,339,418,418
generation,sce_r2_s0,sce,entropy,64,283,2,0,1024,283,331,331
generation,sce_r2_s0,sce,euler,128,328,2,0,1024,326,407,409
generation,sce_r2_s0,sce,neighbor,128,340,2,0,1024,340,416,416
generation,sce_r2_s0,sce,entropy,128,321,2,0,1024,321,383,383
generation,sce_r2_s0,sce,euler,256,336,2,0,1024,336,396,396
generation,sce_r2_s0,sce,neighbor,256,350,2,0,1024,349,428,429
generation,sce_r2_s0,sce,entropy,256,363,2,0,1024,363,460,460
generation,sce_r2_s1,sce,euler,8,155,2,1,1024,155,180,180
generation,sce_r2_s1,sce,neighbor,8,146,2,1,1024,146,161,161
generation,sce_r2_s1,sce,entropy,8,37,2,1,1024,37,38,38
generation,sce_r2_s1,sce,euler,16,254,2,1,1024,253,291,292
generation,sce_r2_s1,sce,neighbor,16,218,2,1,1024,218,262,262
generation,sce_r2_s1,sce,entropy,16,107,2,1,1024,107,114,114
generation,sce_r2_s1,sce,euler,32,274,2,1,1024,274,337,337
generation,sce_r2_s1,sce,neighbor,32,289,2,1,1024,289,354,354
generation,sce_r2_s1,sce,entropy,32,198,2,1,1024,198,220,220
generation,sce_r2_s1,sce,euler,64,317,2,1,1024,317,368,368
generation,sce_r2_s1,sce,neighbor,64,292,2,1,1024,292,357,357
generation,sce_r2_s1,sce,entropy,64,264,2,1,1024,264,317,318
generation,sce_r2_s1,sce,euler,128,309,2,1,1024,309,364,364
generation,sce_r2_s1,sce,neighbor,128,325,2,1,1024,324,391,392
generation,sce_r2_s1,sce,entropy,128,325,2,1,1024,325,386,386
generation,sce_r2_s1,sce,euler,256,313,2,1,1024,313,379,379
generation,sce_r2_s1,sce,neighbor,256,331,2,1,1024,331,420,420
generation,sce_r2_s1,sce,entropy,256,370,2,1,1024,370,451,451
generation,sce_r2_s2,sce,euler,8,201,2,2,1024,201,227,227
generation,sce_r2_s2,sce,neighbor,8,177,2,2,1024,177,205,205
generation,sce_r2_s2,sce,entropy,8,50,2,2,1024,50,50,50
generation,sce_r2_s2,sce,euler,16,231,2,2,1024,231,270,270
generation,sce_r2_s2,sce,neighbor,16,243,2,2,1024,243,286,286
generation,sce_r2_s2,sce,entropy,16,99,2,2,1024,99,105,105
generation,sce_r2_s2,sce,euler,32,275,2,2,1024,275,331,331
generation,sce_r2_s2,sce,neighbor,32,316,2,2,1024,316,363,363
generation,sce_r2_s2,sce,entropy,32,202,2,2,1024,202,235,235
generation,sce_r2_s2,sce,euler,64,315,2,2,1024,315,379,379
generation,sce_r2_s2,sce,neighbor,64,335,2,2,1024,335,392,393
generation,sce_r2_s2,sce,entropy,64,293,2,2,1024,293,339,339
