run_label,loss,sce_radius,seed,method,nfe,valid,novel,unique_valid,unique_novel,total
sce_r2_s0,sce,2,0,entropy,16,102,95,102,95,1024
sce_r2_s0,sce,2,0,euler,32,334,279,334,279,1024
sce_r2_s0,sce,2,0,neighbor,32,321,264,321,264,1024
sce_r2_s0,sce,2,0,entropy,32,218,196,217,196,1024
sce_r2_s0,sce,2,0,euler,64,350,290,350,290,1024
sce_r2_s0,sce,2,0,neighbor,64,418,339,418,339,1024
sce_r2_s0,sce,2,0,entropy,64,331,283,331,283,1024
sce_r2_s0,sce,2,0,euler,128,409,328,407,326,1024
sce_r2_s0,sce,2,0,neighbor,128,416,340,416,340,1024
sce_r2_s0,sce,2,0,entropy,128,383,321,383,321,1024
sce_r2_s0,sce,2,0,euler,256,396,336,396,336,1024
sce_r2_s0,sce,2,0,neighbor,256,429,350,428,349,1024
sce_r2_s0,sce,2,0,entropy,256,460,363,460,363,1024
sce_r2_s1,sce,2,1,euler,8,180,155,180,155,1024
sce_r2_s1,sce,2,1,neighbor,8,161,146,161,146,1024
sce_r2_s1,sce,2,1,entropy,8,38,37,38,37,1024
sce_r2_s1,sce,2,1,euler,16,292,254,291,253,1024
sce_r2_s1,sce,2,1,neighbor,16,262,218,262,218,1024
sce_r2_s1,sce,2,1,entropy,16,114,107,114,107,1024
sce_r2_s1,sce,2,1,euler,32,337,274,337,274,1024
sce_r2_s1,sce,2,1,neighbor,32,354,289,354,289,1024
sce_r2_s1,sce,2,1,entropy,32,220,198,220,198,1024
sce_r2_s1,sce,2,1,euler,64,368,317,368,317,1024
sce_r2_s1,sce,2,1,neighbor,64,357,292,357,292,1024
sce_r2_s1,sce,2,1,entropy,64,318,264,317,264,1024
sce_r2_s1,sce,2,1,euler,128,364,309,364,309,1024
sce_r2_s1,sce,2,1,neighbor,128,392,325,391,324,1024
sce_r2_s1,sce,2,1,entropy,128,386,325,386,325,1024
sce_r2_s1,sce,2,1,euler,256,379,313,379,313,1024
sce_r2_s1,sce,2,1,neighbor,256,420,331,420,331,1024
sce_r2_s1,sce,2,1,entropy,256,451,370,451,370,1024
sce_r2_s2,sce,2,2,euler,8,227,201,227,201,1024
sce_r2_s2,sce,2,2,neighbor,8,205,177,205,177,1024
sce_r2_s2,sce,2,2,entropy,8,50,50,50,50,1024
sce_r2_s2,sce,2,2,euler,16,270,231,270,231,1024
sce_r2_s2,sce,2,2,neighbor,16,286,243,286,243,1024
sce_r2_s2,sce,2,2,entropy,16,105,99,105,99,1024
sce_r2_s2,sce,2,2,euler,32,331,275,331,275,1024
sce_r2_s2,sce,2,2,neighbor,32,363,316,363,316,1024
sce_r2_s2,sce,2,2,entropy,32,235,202,235,202,1024
sce_r2_s2,sce,2,2,euler,64,379,315,379,315,1024
sce_r2_s2,sce,2,2,neighbor,64,393,335,392,335,1024
sce_r2_s2,sce,2,2,entropy,64,339,293,339,293,1024
sce_r2_s2,sce,2,2,euler,128,403,334,403,334,1024
sce_r2_s2,sce,2,2,neighbor,128,422,354,421,354,1024
sce_r2_s2,sce,2,2,entropy,128,401,328,401,328,1024
sce_r2_s2,sce,2,2,euler,256,389,336,389,336,1024
sce_r2_s2,sce,2,2,neighbor,256,445,351,443,350,1024
sce_r2_s2,sce,2,2,entropy,256,469,373,469,373,1024
sce_r2_s3,sce,2,3,euler,8,179,155,179,155,1024
sce_r2_s3,sce,2,3,neighbor,8,151,131,151,131,1024
sce_r2_s3,sce,2,3,entropy,8,39,38,39,38,1024
sce_r2_s3,sce,2,3,euler,16,310,261,310,261,1024
sce_r2_s3,sce,2,3,neighbor,16,280,247,280,247,1024
sce_r2_s3,sce,2,3,entropy,16,110,100,110,100,1024
sce_r2_s3,sce,2,3,euler,32,376,316,376,316,1024
sce_r2_s3,sce,2,3,neighbor,32,373,309,372,308,1024
sce_r2_s3,sce,2,3,entropy,32,239,206,239,206,1024
sce_r2_s3,sce,2,3,euler,64,392,321,392,321,1024
sce_r2_s3,sce,2,3,neighbor,64,388,328,388,328,1024
sce_r2_s3,sce,2,3,entropy,64,349,306,349,306,1024
sce_r2_s3,sce,2,3,euler,128,403,332,403,332,1024
sce_r2_s3,sce,2,3,neighbor,128,410,334,409,334,1024
sce_r2_s3,sce,2,3,entropy,128,399,330,399,330,1024
sce_r2_s3,sce,2,3,euler,256,408,331,408,331,1024
sce_r2_s3,sce,2,3,neighbor,256,433,351,433,351,1024
sce_r2_s3,sce,2,3,entropy,256,456,357,456,357,1024
sce_r3_s0,sce,3,0,euler,8,186,164,186,164,1024
sce_r3_s0,sce,3,0,neighbor,8,178,158,178,158,1024
sce_r3_s0,sce,3,0,entropy,8,37,36,37,36,1024
sce_r3_s0,sce,3,0,euler,16,274,234,274,234,1024
sce_r3_s0,sce,3,0,neighbor,16,285,247,285,247,1024
sce_r3_s0,sce,3,0,entropy,16,110,104,110,104,1024
sce_r3_s0,sce,3,0,euler,32,353,301,353,301,1024
sce_r3_s0,sce,3,0,neighbor,32,341,290,341,290,1024
sce_r3_s0,sce,3,0,entropy,32,221,203,221,203,1024
sce_r3_s0,sce,3,0,euler,64,372,309,371,309,1024
sce_r3_s0,sce,3,0,neighbor,64,411,327,411,327,1024
sce_r3_s0,sce,3,0,entropy,64,332,289,332,289,1024
sce_r3_s0,sce,3,0,euler,128,408,340,408,340,1024
sce_r3_s0,sce,3,0,neighbor,128,408,332,408,332,1024
sce_r3_s0,sce,3,0,entropy,128,392,332,392,332,1024
sce_r3_s0,sce,3,0,euler,256,398,338,397,338,1024
sce_r3_s0,sce,3,0,neighbor,256,413,330,412,329,1024
sce_r3_s0,sce,3,0,entropy,256,419,341,419,341,1024
sce_r3_s1,sce,3,1,euler,8,181,155,181,155,1024
sce_r3_s1,sce,3,1,neighbor,8,199,184,199,184,1024
sce_r3_s1,sce,3,1,entropy,8,41,37,41,37,1024
sce_r3_s1,sce,3,1,euler,16,312,272,312,272,1024
sce_r3_s1,sce,3,1,neighbor,16,270,239,270,239,1024
sce_r3_s1,sce,3,1,entropy,16,96,88,96,88,1024
sce_r3_s1,sce,3,1,euler,32,360,296,360,296,1024
sce_r3_s1,sce,3,1,neighbor,32,337,280,337,280,1024
sce_r3_s1,sce,3,1,entropy,32,240,208,240,208,1024
sce_r3_s1,sce,3,1,euler,64,399,337,399,337,1024
sce_r3_s1,sce,3,1,neighbor,64,383,314,383,314,1024
sce_r3_s1,sce,3,1,entropy,64,334,280,334,280,1024
sce_r3_s1,sce,3,1,euler,128,379,315,379,315,1024
sce_r3_s1,sce,3,1,neighbor,128,393,327,392,326,1024
sce_r3_s1,sce,3,1,entropy,128,411,343,410,343,1024
sce_r3_s1,sce,3,1,euler,256,408,336,407,336,1024
sce_r3_s1,sce,3,1,neighbor,256,431,342,430,342,1024
sce_r3_s1,sce,3,1,entropy,256,464,396,464,396,1024
sce_r3_s2,sce,3,2,euler,8,221,203,221,203,1024
sce_r3_s2,sce,3,2,neighbor,8,182,152,182,152,1024
sce_r3_s2,sce,3,2,entropy,8,41,37,41,37,1024
sce_r3_s2,sce,3,2,euler,16,283,243,283,243,1024
sce_r3_s2,sce,3,2,neighbor,16,283,246,283,246,1024
sce_r3_s2,sce,3,2,entropy,16,125,115,125,115,1024
sce_r3_s2,sce,3,2,euler,32,316,268,315,268,1024
sce_r3_s2,sce,3,2,neighbor,32,340,287,340,287,1024
sce_r3_s2,sce,3,2,entropy,32,220,198,220,198,1024
sce_r3_s2,sce,3,2,euler,64,400,335,400,335,1024
sce_r3_s2,sce,3,2,neighbor,64,390,330,390,330,1024
sce_r3_s2,sce,3,2,entropy,64,357,309,357,309,1024
sce_r3_s2,sce,3,2,euler,128,402,337,402,337,1024
sce_r3_s2,sce,3,2,neighbor,128,418,344,416,343,1024
sce_r3_s2,sce,3,2,entropy,128,380,317,380,317,1024
sce_r3_s2,sce,3,2,euler,256,395,341,395,341,1024
sce_r3_s2,sce,3,2,neighbor,256,432,344,432,344,1024
sce_r3_s2,sce,3,2,entropy,256,427,342,427,342,1024
sce_r3_s3,sce,3,3,euler,8,204,180,204,180,1024
sce_r3_s3,sce,3,3,neighbor,8,151,130,151,130,1024
sce_r3_s3,sce,3,3,entropy,8,46,44,46,44,1024
sce_r3_s3,sce,3,3,euler,16,312,255,312,255,1024
sce_r3_s3,sce,3,3,neighbor,16,284,250,284,250,1024
sce_r3_s3,sce,3,3,entropy,16,118,109,118,109,1024
sce_r3_s3,sce,3,3,euler,32,381,312,381,312,1024
sce_r3_s3,sce,3,3,neighbor,32,377,315,376,314,1024
sce_r3_s3,sce,3,3,entropy,32,243,210,243,210,1024
sce_r3_s3,sce,3,3,euler,64,388,310,388,310,1024
sce_r3_s3,sce,3,3,neighbor,64,406,349,406,349,1024
sce_r3_s3,sce,3,3,entropy,64,356,303,356,303,1024
sce_r3_s3,sce,3,3,euler,128,405,331,404,330,1024
sce_r3_s3,sce,3,3,neighbor,128,419,333,419,333,1024
sce_r3_s3,sce,3,3,entropy,128,419,334,419,334,1024
sce_r3_s3,sce,3,3,euler,256,409,330,409,330,1024
sce_r3_s3,sce,3,3,neighbor,256,416,329,416,329,1024
sce_r3_s3,sce,3,3,entropy,256,443,348,443,348,1024
